DocumentID,spam,external,internal,foreign_language,too_short,repeated_characters,repeated_lines,html,phone_number,links,author_account_age,author_n_logins,author_uploaded_docs,author_spam,author_published_docs,author_valid_email_address,author_email_domain,author_plan_at_submission,document_n_words,document_format,document_upload_method
68422510,0,0,0,0,1,0,1,0,0,0,22,1,1,,0,1,gmail.com,free,2,docx,upload
68429254,0,0,0,0,1,0,0,0,0,0,22,1,1,,0,1,yahoo.com,free,157,docx,upload
66771814,0,0,0,0,0,0,0,0,0,0,63,1,2,,1,1,yahoo.com,free,6,N/A,upload
66773218,0,0,0,0,0,0,0,0,1,0,63,1,2,,0,1,gmail.com,free,8617,N/A,upload
66773428,0,0,0,0,0,0,0,0,0,0,479,4,3,,2,1,yahoo.com,free,223,N/A,upload
66784558,0,0,0,1,0,0,0,0,0,0,62,1,1,,0,1,gmail.com,free,511,N/A,google_drive
66785233,0,1,1,0,0,0,0,0,0,0,62,1,1,,0,1,btinternet.com,free,668,N/A,upload
66789373,0,0,0,0,0,0,0,0,0,0,117,3,2,,0,1,yahoo.com,free,82,N/A,google_drive
66804109,0,1,1,0,0,0,0,0,0,0,62,1,2,,1,1,svvsd.org,free,698,N/A,upload
66806665,0,0,0,0,0,0,0,0,0,0,258,70,1615,,1240,1,technavio.com,free,336,N/A,upload
66807556,0,0,0,0,0,0,0,0,0,0,621,344,382,,336,1,gmail.com,free,315,N/A,upload
66808018,0,1,1,0,0,0,0,0,0,0,276,174,468,,414,1,transparencymarketresearch.com,free,990,N/A,upload
66809371,0,1,1,0,0,0,1,0,0,1,61,1,1,,0,1,gmail.com,free,1010,N/A,upload
66809821,0,0,0,0,0,0,0,0,0,0,61,1,2,,0,1,gmail.com,free,401,N/A,upload
66810346,0,0,0,1,0,0,1,0,0,0,61,1,1,,0,1,yahoo.com,free,0,N/A,upload
66811849,0,0,0,0,0,0,0,0,0,0,886,1,2,,1,1,yahoo.com,free,295,N/A,upload
66815338,0,0,0,0,0,0,0,0,0,0,61,1,1,,0,1,gmail.com,free,88,N/A,upload
66824038,0,0,0,0,0,0,0,0,1,0,146,3,1,,0,1,gmail.com,free,1122,N/A,upload
66826906,0,0,0,0,0,0,0,0,0,0,61,1,4,,3,1,yahoo.com.tw,free,36,N/A,google_drive
66837772,0,0,0,0,0,0,0,0,0,0,60,1,2,,0,1,gmail.com,free,178,N/A,upload
66842707,0,0,0,0,0,0,0,0,0,0,60,2,1,,0,1,yahoo.com,free,14,N/A,upload
66847327,0,0,0,0,0,0,0,0,0,0,666,26,9,,8,1,gmail.com,free,262,N/A,upload
66847333,0,0,0,0,0,0,0,0,1,0,645,1,2,,1,1,hotmail.com,free,1749,N/A,upload
66848920,0,0,0,0,0,0,0,0,0,0,200,2,1,,0,1,gmail.com,free,933,N/A,upload
66849637,0,0,0,0,0,0,0,0,0,0,116,8,191,,45,1,gmail.com,free,562,N/A,upload
66850027,0,0,0,0,0,0,1,0,0,0,59,2,46,,44,1,gmail.com,free,165,N/A,upload
66851944,0,0,0,0,0,0,0,0,0,0,116,8,191,,47,1,gmail.com,free,565,N/A,upload
66862222,0,1,1,0,0,0,0,0,0,0,60,5,441,,43,1,gmail.com,free,2417,N/A,upload
66867205,0,0,0,1,0,0,0,0,0,0,59,2,1,,0,1,qq.com,free,339,N/A,upload
66877732,0,0,0,0,0,0,0,0,0,0,59,1,1,,0,1,cps.edu,free,155,N/A,upload
66878452,0,1,1,0,0,0,0,0,0,0,59,1,2,,0,1,googlemail.com,free,772,N/A,upload
66879103,0,0,0,0,0,0,0,0,0,0,59,2,1,,0,1,gmail.com,free,598,N/A,google_drive
66880642,0,0,0,0,0,0,0,0,0,0,59,1,1,,0,1,yahoo.com.ph,free,2656,N/A,upload
66880834,0,0,0,0,0,0,0,0,0,0,784,33,1931,,1850,1,gmail.com,free,1026,N/A,upload
66883117,0,0,0,1,0,0,1,0,0,0,58,1,1,,0,1,gbg.bg,free,0,N/A,upload
66883507,0,0,0,0,0,0,0,0,0,0,58,1,1,,0,1,icloud.com,free,356,N/A,upload
66884167,0,0,0,0,0,0,0,0,0,0,58,1,1,,0,1,yahoo.com,free,435,N/A,upload
66884887,0,1,1,0,0,0,0,0,0,0,60,5,441,,290,1,gmail.com,free,260,N/A,upload
66887500,0,0,0,1,0,0,1,0,0,0,58,1,2,,0,1,gmail.com,free,14,N/A,google_drive
66891871,0,0,0,0,0,0,0,0,0,0,58,1,1,,0,1,aim.com,free,63,N/A,upload
